"individualCount","eventDate","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","verbatimScientificName","datasetKey","commonName"
3,2021-11-19,"Uttarakhand","Jaunpur Range, Uttarakhand, IN (30.551, 78.201) Village Moldhar",30.55091,78.2006,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
NA,2021-11-11,"Uttarakhand","Chopta",30.485682,79.20091,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
3,2021-10-29,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-10-14,"Uttarakhand","Netwar",31.06397,78.10539,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
2,2021-10-14,"Uttarakhand","Netwar",31.06397,78.10539,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
NA,2021-11-12,"Uttarakhand","Tungnath",30.488224,79.21691,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-10-10,"Tamil Nadu","Sigur Nature Trust",11.539249,76.693245,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
1,2021-11-26,"Gujarat","Chhari Dhandh Conservation Reserve",23.582237,69.31515,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
1,2021-09-30,"Uttar Pradesh","jahanabad, UP",26.96684,78.69548,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-11-01,"Himachal Pradesh","Miyar Valley Road, Himachal Pradesh, IN (32.731, 76.674)",32.73117,76.67412,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
2,2021-11-01,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-11-09,"Ladakh","Tsazar",33.59523,77.00878,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
10,2021-11-01,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
10,2021-10-29,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
NA,2021-11-11,"Uttarakhand","Chopta",30.485682,79.20091,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
NA,2021-11-10,"Arunachal Pradesh","Mishmi Hills--65 km to 12 Gulai",28.287893,95.92138,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
4,2021-10-29,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
2,2021-10-18,"Rajasthan","Tal Chhapar Sanctuary",27.796604,74.43263,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
6,2021-10-23,"Himachal Pradesh","Pongdam",32.031193,76.07354,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-10-31,"Rajasthan","Tal Chhapar Sanctuary",27.796604,74.43263,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
20,2021-11-01,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-10-22,"Jammu and Kashmir","Sonamarg",34.308056,75.27033,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-11-03,"Himachal Pradesh","bridge colony to T. nath 0 point, Udaipur, Himachal Pradesh, IN (32.726, 76.666)",32.726166,76.66649,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-11-14,"Rajasthan","Shokliya Agro-Grassland",26.238111,74.86352,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-10-29,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
