Timestamp,EntryNo,TreeNo,TreeSpeciesName,AnimalInaturalistMeta-ID,AnimalName,AnimalCount,AnimalActivity,AnimalRemarks
2/10/2024 9:12:34,1,1,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:14:36,2,2,Bauhinia purpurea (Purple Bauhinia),-,-,0,-,-
2/10/2024 9:17:45,3,3,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:19:17,4,4,Plumeria alba (White Frangipani),-,-,0,-,-
2/10/2024 9:19:21,5,5,Unidentified / Other,-,-,0,-,-
2/10/2024 9:22:26,6,6,Cassia roxburghii (Red Cassia),-,Rodents / Reptiles,1,None,-
2/10/2024 9:23:21,7,7,Cocos nucifera (Coconut Palm),-,-,0,-,-
2/10/2024 9:26:51,8,8,Lannea coromandelica (Indian Ash),-,-,0,-,-
2/10/2024 9:31:33,9,9,Spathodea campanulata (African Tulip Tree),-,-,0,-,-
2/10/2024 10:46:20,10,10,Milletia pinnata (Pongamia),198869142,Bugs,4,None,-
2/10/2024 9:33:43,11,11,Dalbergia sissoo (Indian rosewood),-,-,0,-,-
2/10/2024 10:41:43,12,12,Phyllanthus emblica (Amla),-,-,0,-,-
2/10/2024 10:41:48,13,13,Unidentified / Other,-,-,0,-,-
2/10/2024 10:51:32,14,14,Milletia pinnata (Pongamia),-,Ants / Termites,50,None,Bark termites
2/10/2024 10:51:32,15,14,Milletia pinnata (Pongamia),198869533,Other Insects / Animals,1,None,Fungus on the trunk
2/10/2024 9:49:21,16,15,Milletia pinnata (Pongamia),-,-,0,-,-
2/10/2024 10:59:30,17,16,Milletia pinnata (Pongamia),198869966,Butterfly / Moth ,1,Resting,Bug
2/10/2024 10:59:30,18,16,Milletia pinnata (Pongamia),-,Butterfly / Moth ,1,None,Snail shell
2/10/2024 10:59:30,19,16,Milletia pinnata (Pongamia),-,Ants / Termites,50,None,Termites  on the branch 
2/10/2024 9:52:51,20,17,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 10:02:01,21,18,Parkia biglandulosa (Badminton-ball tree),-,-,0,-,-
2/10/2024 11:03:57,22,19,Spathodea campanulata (African Tulip Tree),-,Ants / Termites,50,Flying,Black ants
2/10/2024 10:02:40,23,20,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:56:31,24,21,Magnolia champaca (Champa),-,-,0,-,-
2/10/2024 10:07:00,25,22,Terminalia mantaly (Madagascar almond),-,-,0,-,-
2/10/2024 10:09:24,26,23,Tabebuia rosea (Pink poui),-,-,0,-,-
2/10/2024 10:46:51,27,24,Dypsis leutescens (Golden Cane Palm),-,-,0,-,-
2/10/2024 10:12:48,28,25,Plumeria rubra (Frangipani),-,-,0,-,-
2/10/2024 10:12:54,29,26,Unidentified / Other,-,-,0,-,-
2/10/2024 10:15:24,30,27,Leucaena leucocephala (Lead Tree/Subabul),-,-,0,-,-
2/10/2024 10:17:24,31,28,Neolamarckia cadamba (Kadamb),-,-,0,-,-
2/10/2024 10:20:51,32,29,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 10:21:13,33,30,Muntingia calabura (Singapore/Jamaican cherry),-,-,0,-,-
2/10/2024 10:25:11,34,31,Tecoma stans (Golden bell tree),-,-,0,-,-
2/10/2024 10:25:39,35,32,Unidentified / Other,-,-,0,-,-
2/10/2024 10:26:22,36,33,Ficus religiosa (Peepal),-,-,0,-,-
2/10/2024 9:35:42,37,34,Plumeria rubra (Frangipani),-,-,0,-,-
2/10/2024 10:19:56,38,35,Unidentified / Other,-,-,0,-,-
2/10/2024 9:08:34,39,36,Cassia roxburghii (Red Cassia),-,-,0,-,-
2/10/2024 9:11:08,40,37,Leucaena leucocephala (Lead Tree/Subabul),-,-,0,-,-
2/10/2024 10:20:05,41,38,Unidentified / Other,-,-,0,-,-
2/10/2024 9:46:17,42,39,Cordia macleodi (Macleod Cordia),-,-,0,-,-
2/10/2024 9:49:23,43,40,Albizia lebbeck (Siris),-,-,0,-,-
2/10/2024 9:46:23,44,41,Unidentified / Other,-,-,0,-,-
2/10/2024 10:41:30,45,42,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:00:46,46,43,Unidentified / Other,-,-,0,-,-
2/10/2024 10:25:02,47,44,Unidentified / Other,-,-,0,-,-
2/10/2024 10:26:59,48,45,Unidentified / Other,-,-,0,-,-
2/10/2024 9:24:10,49,46,Syzygium cumini (Jamun),-,-,0,-,-
2/10/2024 9:22:43,50,47,Unidentified / Other,-,-,0,None,-
2/10/2024 9:33:42,51,48,Unidentified / Other,-,-,0,-,-
2/10/2024 10:11:32,52,49,Sterculia foetida (Wild almond),-,-,0,-,-
2/10/2024 10:13:50,53,50,Nerium oleander (Oleander),-,-,0,-,-
2/10/2024 9:02:09,54,51,Milletia pinnata (Pongamia),1193595,Other Insects / Animals,500,Flying,-
2/10/2024 9:10:18,55,52,Mangifera indica (Mango - all varieties),-,-,0,-,-
2/10/2024 9:12:49,56,53,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 10:29:42,57,54,Unidentified / Other,-,-,0,-,-
2/10/2024 9:13:08,58,55,Unidentified / Other,-,-,0,None,-
2/10/2024 9:13:15,59,56,Unidentified / Other,-,-,0,-,-
2/10/2024 10:34:54,60,57,Unidentified / Other,-,-,0,-,-
2/10/2024 10:29:36,61,58,Tamarindus indica (Tamarind),-,-,0,-,-
2/10/2024 9:03:30,62,59,Azadirachta indica (Neem),-,Ants / Termites,50,None,White ants
2/10/2024 10:12:48,63,60,Thespesia populnea (Indian tulip tree),-,-,0,-,-
2/10/2024 10:23:57,64,61,Tabebuia pallida (Pale Pink Trumpet Tree),-,-,0,-,-
2/10/2024 10:25:41,65,62,Wodyetia bifurcata (Foxtail Palm),-,-,0,-,-
2/10/2024 10:04:38,66,63,Mangifera indica (Mango - all varieties),-,-,0,-,-
2/10/2024 9:12:19,67,64,Spathodea campanulata (African Tulip Tree),-,-,0,-,-
2/10/2024 9:17:38,68,65,Plumeria rubra (Frangipani),-,-,0,-,-
2/10/2024 9:36:16,69,66,Phoenix sylvestris (Khajur),-,-,0,-,-
2/10/2024 9:37:54,70,67,Caryota urens (Fish-tail Palm),-,-,0,-,-
2/10/2024 9:43:26,71,68,Parkia biglandulosa (Badminton-ball tree),-,-,0,-,-
2/10/2024 9:51:31,72,69,Senna siamea (Siamese Cassia),-,-,0,-,-
2/10/2024 10:03:35,73,70,Bauhinia purpurea (Purple Bauhinia),-,-,0,-,-
2/10/2024 9:50:10,74,71,Unidentified / Other,-,-,0,-,-
2/10/2024 9:04:54,75,72,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 8:22:18,76,73,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:42:50,77,74,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:44:44,78,75,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:46:46,79,76,Peltophorum pterocarpum (Copperpod),-,Birds,5,Resting,Normal 
2/10/2024 8:46:59,80,77,Unidentified / Other,-,-,0,-,-
2/10/2024 8:48:00,81,78,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:51:27,82,79,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 8:52:19,83,80,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 8:56:01,84,81,Peltophorum pterocarpum (Copperpod),-,Spiders,1,Resting,-
2/10/2024 8:56:01,85,81,Peltophorum pterocarpum (Copperpod),-,-,0,None,-
2/10/2024 8:56:01,86,81,Peltophorum pterocarpum (Copperpod),-,Ants / Termites,100,Flying,-
2/10/2024 8:58:21,87,82,Ziziphus xylopyrus (Kath Ber),-,-,0,-,-
2/10/2024 9:00:10,88,83,Tamarindus indica (Tamarind),-,-,0,-,-
2/10/2024 8:26:08,89,84,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:05:37,90,85,Grevillea robusta (Silky Oak),-,-,0,-,-
2/10/2024 9:09:31,91,86,Ziziphus mauritiana (Ber),-,-,0,-,-
2/10/2024 9:19:45,92,87,Caryota urens (Fish-tail Palm),-,-,0,-,-
2/10/2024 9:21:31,93,88,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:26:14,94,89,Parkia biglandulosa (Badminton-ball tree),-,-,0,-,-
2/10/2024 9:29:39,95,90,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 9:30:33,96,91,Parkia biglandulosa (Badminton-ball tree),-,-,0,-,-
2/10/2024 9:32:40,97,92,Azadirachta indica (Neem),-,Ants / Termites,50,None,-
2/10/2024 9:35:54,98,93,Unidentified / Other,-,-,0,-,-
2/10/2024 9:36:46,99,94,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 8:29:04,100,95,Prosopis juliflora (Vilayati keekar),-,-,0,-,-
2/10/2024 9:42:38,101,96,Milletia pinnata (Pongamia),-,-,0,-,-
2/10/2024 9:53:54,102,97,Unidentified / Other,-,-,0,-,-
2/10/2024 9:56:04,103,98,Borassus flabellifer (Toddy Palm),-,-,0,-,-
2/10/2024 8:29:44,104,99,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:33:16,105,100,Melia dubia (Malabar Neem),-,Other Insects / Animals,1,None,Dead 
2/10/2024 8:35:34,106,101,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:36:37,107,102,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:38:09,108,103,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 8:39:28,109,104,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:01:59,110,105,Millingtonia hortensis (Indian Cork Tree),-,-,0,-,-
2/10/2024 9:31:42,111,106,Moringa oleifera (Drumstick tree),-,-,0,-,-
2/10/2024 9:32:48,112,107,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:33:56,113,108,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:37:28,114,109,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:40:29,115,110,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:44:50,116,111,Peltophorum pterocarpum (Copperpod),-,Spiders,1,None,-
2/10/2024 9:47:00,117,112,Dalbergia sissoo (Indian rosewood),-,Other Insects / Animals,1,None,-
2/10/2024 9:48:41,118,113,Acacia nilotica (Babool),-,-,0,-,-
2/10/2024 9:59:17,119,114,Delonix regia (Gulmohur),-,-,0,-,-
2/10/2024 10:08:16,120,115,Azadirachta indica (Neem),-,Birds,1,None,-
2/10/2024 9:12:13,121,116,Terminalia arjuna (Arjuna),-,-,0,-,-
2/10/2024 10:15:43,122,117,Azadirachta indica (Neem),-,-,0,-,-
2/10/2024 10:16:51,123,118,Ficus racemosa (Country fig),-,-,0,-,-
2/10/2024 9:15:53,124,119,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:18:27,125,120,Ficus religiosa (Peepal),-,Ants / Termites,50,None,-
2/10/2024 9:19:44,126,121,Terminalia catappa (Indian Almond),-,-,0,-,-
2/10/2024 9:25:10,127,122,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:25:58,128,123,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:28:32,129,124,Prosopis juliflora (Vilayati keekar),-,-,0,-,-
2/10/2024 9:29:34,130,125,Peltophorum pterocarpum (Copperpod),-,-,0,-,-
2/10/2024 9:23:22,131,126,Unidentified / Other,-,Birds,1,Flying,-
2/10/2024 9:23:23,132,126,Unidentified / Other,-,Other Insects / Animals,1,Flying,Cat
2/10/2024 9:44:28,133,127,Unidentified / Other,-,-,0,-,-
2/10/2024 9:50:47,134,128,Unidentified / Other,-,-,0,-,-
2/10/2024 9:51:45,135,129,Unidentified / Other,-,-,0,-,-
2/10/2024 9:53:20,136,130,Unidentified / Other,-,-,0,-,-
2/10/2024 9:57:21,137,131,Unidentified / Other,-,-,0,-,-
2/10/2024 9:57:53,138,132,Adenanthera pavonia (Red Bead Tree),-,-,0,-,-
2/10/2024 9:58:31,139,133,Adenanthera pavonia (Red Bead Tree),-,-,0,-,-
2/10/2024 9:59:15,140,134,Adenanthera pavonia (Red Bead Tree),-,-,0,-,-
2/10/2024 10:05:43,141,135,Unidentified / Other,-,-,0,-,-
2/10/2024 10:08:27,142,136,Unidentified / Other,-,-,0,-,-
2/10/2024 9:30:39,143,137,Adenanthera pavonia (Red Bead Tree),-,-,0,-,-
2/10/2024 10:09:40,144,138,Unidentified / Other,-,-,0,-,-
2/10/2024 9:34:01,145,139,Unidentified / Other,-,-,0,-,-
2/10/2024 9:35:23,146,140,Unidentified / Other,-,-,0,-,-
2/10/2024 9:37:37,147,141,Unidentified / Other,-,-,0,-,-
