"common_name","scientific_name","observation_count","state","state_code","county","county_code","locality","locality_id","locality_type","latitude","longitude","observation_date","species_comments"
"Indian Vulture","Gyps indicus","5","Madhya Pradesh","IN-MP","Gwalior","IN-MP-GW","Gwalior, Madhya Pradesh, IN (26.224, 78.169)","L22620820","P",26.2242433,78.16863,2023-09-05,NA
"Indian Vulture","Gyps indicus","8","Rajasthan","IN-RJ","Kota","IN-RJ-KO","Garadia Mahadev Temple","L16111954","H",25.117466,75.7289743,2023-09-04,NA
"Indian Vulture","Gyps indicus","4","Madhya Pradesh","IN-MP","Niwari","IN-MP-NI","Raj Mahel Road, Orchha, Madhya Pradesh, IN (25.381, 78.646)","L26928947","P",25.3811558,78.6464457,2023-09-04,NA
"Indian Vulture","Gyps indicus","15","Madhya Pradesh","IN-MP","Gwalior","IN-MP-GW","Nalkeshwar Gurja, Madhya Pradesh, IN (26.208, 77.94)","L27001246","P",26.2078533,77.9402717,2023-09-09,NA
"Indian Vulture","Gyps indicus","9","Maharashtra","IN-MH","Raigad","IN-MH-RG","National Highway 753F, Ghonse, Maharashtra, IN (18.161, 73.175)","L26989530","P",18.1605226,73.1748638,2023-09-08,"9 Indian vultures spotted at a supplementary feeding ground for vultures near village chandore"
"Indian Vulture","Gyps indicus","8","Rajasthan","IN-RJ","Kota","IN-RJ-KO","Banda, Rajasthan, IN (25.054, 75.742)","L21793245","P",25.0537123,75.7416471,2023-09-06,NA
"Indian Vulture","Gyps indicus","13","Maharashtra","IN-MH","Raigad","IN-MH-RG","National Highway 753F, Ghonse, Maharashtra, IN (18.161, 73.175)","L26989530","P",18.1605226,73.1748638,2023-09-11,"13 Indian vultures were seen roosting on trees at the supplementary feeding ground near village chandore"
"Indian Vulture","Gyps indicus","20","Madhya Pradesh","IN-MP","Jabalpur","IN-MP-JA","Nidan Water Fall","L27064768","H",23.4595064,79.787693,2023-09-10,"We were there to see the water fall an suddenly aamir Nasirabadi bhiya had seen some of flying vultures there in nidan fall, we follow them and see the beautiful incident, ""a big flock of 20 vultures with nest in the clefts of nidan fall, we ware surpassed because of there presence in the crowded area of people,--Hope they will survive here to like other areas of katangi hills..."
"Indian Vulture","Gyps indicus","2","Maharashtra","IN-MH","Raigad","IN-MH-RG","National Highway 753F, Ghonse, Maharashtra, IN (18.161, 73.175)","L26989530","P",18.1605226,73.1748638,2023-09-14,"No carcass present but Vultures are present near feeding ground. This is also a roosting area for vultures"
"Indian Vulture","Gyps indicus","27","Maharashtra","IN-MH","Raigad","IN-MH-RG","National Highway 753F, Ghonse, Maharashtra, IN (18.161, 73.175)","L26989530","P",18.1605226,73.1748638,2023-09-19,"Carcass was dropped yesterday on supplementary feeding ground great number of Indian vultures were observed today roosting, and feeding on the carcass. A systematic counting was done i moved through the area while observing the vultures present on trees soaring or feeding on the carcass while keeping track of the count i moved ahead through the area for no duplicate counts."
