GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1130257728	2024-07-10 02:07:16.745912	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				2					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr553917	S86223361	Traveling	P22	EBIRD	720	6.437		3	1	G6596476	0	1	1			Two seen in a flock of five vultures with two Himalayan and one Slender-billed. We have photographed this here before.	
URN:CornellLabOfOrnithology:EBIRD:OBS1130181205	2024-07-10 02:07:16.785908	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				2					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr391349	S86216881	Historical	P62	EBIRD				3	1	G6596476	0	1	1			Two seen in a flock of five vultures with two Himalayan and one Slender-billed. We have photographed this here before.	
URN:CornellLabOfOrnithology:EBIRD:OBS1136614540	2024-07-10 02:07:16.693224	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				2					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr1021807	S86705123	Traveling	P22	EBIRD	720	6.437		3	1	G6596476	0	1	1			Two seen in a flock of five vultures with two Himalayan and one Slender-billed. We have photographed this here before.	
URN:CornellLabOfOrnithology:EBIRD:OBS1955317518	2024-04-24 03:46:08.528093	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr2962025	S161969913	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1956839127	2024-04-24 03:46:21.103025	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr3465924	S162170172	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1958800997	2024-04-24 03:46:21.103025	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr3502572	S162417173	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1956520567	2024-04-24 03:46:21.103025	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr600715	S162142052	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1956621752	2024-04-24 03:46:21.103025	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr3008230	S162150431	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1956620271	2024-04-24 03:46:21.103025	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Baksa, Assam, IN (26.783, 90.958)	L29338360	P	26.7826483	90.9577217	2024-02-17	13:19:00	obsr2964697	S162150842	Stationary	P21	EBIRD	5			7	1	G11741475	0	1	1			Yes we have seen	
URN:CornellLabOfOrnithology:EBIRD:OBS1972782780	2024-04-30 03:54:00.216798	7738	species	avibase-158BDC90	Cinereous Vulture	Aegypius monachus				1					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Manas NP--Banasbari (Central Range)	L4871916	H	26.6850770	91.0147801	2024-03-07	05:42:00	obsr4735779	S163943913	Traveling	P22	EBIRD	360	25.480		1	1		0	1	1			On flying	
