GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1081565819	2021-07-22 17:22:47.768743	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Andhra Pradesh	IN-AP	East Godavari	IN-AP-EG					Mallisala, Andhra Pradesh, IN (17.227, 81.975)	L13821849	P	17.2273051	81.9745373	2021-02-24	10:22:00	obsr1211050	S82249804	Stationary	P21	EBIRD	65			1	1		1	1	1		Observed one huge raptor (griffon vulture) flying over high mention electricity wires mobbed by two raptors(booted eagles)..It's a paddy field and one water body surrounded by hills.	Chased by two booted eagles..It has white head,broad wings and short tail..White neck ruff and yellow bill noted	
URN:CornellLabOfOrnithology:EBIRD:OBS1058307229	2023-06-23 19:19:01.814436	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				10					India	IN	Assam	IN-AS	Baksa	IN-AS-BK					Manas NP--Bhuyanpara (Eastern Range)	L4871913	H	26.7610143	91.2182418	2021-01-24	06:29:00	obsr603759	S79798410	Traveling	P22	EBIRD	300	22.970		4	1	G7979477	0	1	1			Seen in flight	
URN:CornellLabOfOrnithology:EBIRD:OBS1355824134	2024-04-28 03:42:18.470856	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				10					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Bhuyanpara, Eastern Range	L17972825	P	26.7577574	91.0914299	2022-02-23	06:20:00	obsr1001603	S104004651	Traveling	P22	EBIRD	360	7.900		3	1	G7975901	1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS1358344881	2024-04-28 03:46:10.917892	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				5					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Bhuyanpara, Eastern Range	L17972825	P	26.7577574	91.0914299	2022-02-23	06:20:00	obsr2999120	S104217708	Traveling	P22	EBIRD	360	7.900		3	1	G7975901	1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS1972776440	2024-04-30 03:54:00.216798	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				7					India	IN	Assam	IN-AS	Baksa	IN-AS-BK	BIRDLIFE_18093				Manas NP--Banasbari (Central Range)	L4871916	H	26.6850770	91.0147801	2024-03-07	05:42:00	obsr4735779	S163943913	Traveling	P22	EBIRD	360	25.480		1	1		0	1	1			Flying	
URN:CornellLabOfOrnithology:EBIRD:OBS1059911070	2024-04-29 04:09:09.153834	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2021-01-26	07:19:00	obsr393275	S79928655	Traveling	P22	EBIRD	289	16.580		4	1	G6210842	0	1	1		Drove 8 km from the gate and then back, all along the water body.	Seen perched. Photos available	
URN:CornellLabOfOrnithology:EBIRD:OBS1296364457	2024-04-29 07:47:54.406707	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2021-01-26	07:19:00	obsr477987	S98938816	Traveling	P22	EBIRD	289	16.580		4	1	G6210842	0	1	1			Seen perched. Photos available	
URN:CornellLabOfOrnithology:EBIRD:OBS1059912679	2024-04-29 04:09:09.153834	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2021-01-26	07:19:00	obsr396794	S79928656	Traveling	P22	EBIRD	289	16.580		4	1	G6210842	0	1	1			Seen perched. Photos available	
URN:CornellLabOfOrnithology:EBIRD:OBS1098614577	2024-06-15 12:48:06.648261	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2021-03-19	07:46:00	obsr656425	S83652758	Traveling	P22	EBIRD	282	28.310		5	1		0	1	1			Spotted flying low above us.	
URN:CornellLabOfOrnithology:EBIRD:OBS1927116941	2024-02-02 00:44:02.120025	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2024-01-18	07:00:00	obsr1319853	S159178708	Traveling	P22	EBIRD	240	20.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2368586581	2024-08-06 04:31:47.597359	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG					Unnamed Road, Bahikhowa, Assam, IN (26.683, 93.625)	L28760649	P	26.6830766	93.6246360	2024-01-10	13:02:00	obsr2833671	S158775274	Stationary	P21	EBIRD	30			2	1	G11514618	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1944462633	2024-05-01 03:59:11.045405	7753	species	avibase-5D1987CE	Eurasian Griffon	Gyps fulvus				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-02-07	07:20:00	obsr241915	S160838778	Traveling	P22	EBIRD	300	8.047		8	1	G11670053	0	1	0				
