GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1658544309	2023-03-18 10:14:31.249293	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				10	F 	C1	F 		India	IN	Chhattisgarh	IN-CT	Bijapur	IN-CT-BJ					Madded, Chhattisgarh, IN (18.8, 80.402)	L23101034	P	18.7999841	80.4020433	2023-03-18	11:30:00	obsr886989	S131177386	Stationary	P21	EBIRD	45			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1805652258	2023-10-19 17:18:43.794053	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				2	F 	C1	F 		India	IN	Chhattisgarh	IN-CT	Bijapur	IN-CT-BJ					Gilgicha	L26618974	P	18.7520256	80.6164725	2023-08-17	11:56:00	obsr886989	S147451732	Traveling	P22	EBIRD	52	1.290		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1821477299	2023-09-08 02:31:37.02188	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Chhattisgarh	IN-CT	Bijapur	IN-CT-BJ					Mancherial-Chennor-Jagdalpur Road, Bijapur, Chhattisgarh, IN (18.836, 80.42)	L26380209	P	18.8358500	80.4201333	2023-09-08	11:31:00	obsr3700677	S149236526	Traveling	P22	EBIRD	26	2.446		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1866004224	2024-08-01 07:44:53.401203	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				2					India	IN	Chhattisgarh	IN-CT	Bijapur	IN-CT-BJ					Bhopal Patnam	L25917521	P	18.8856133	80.3601800	2023-11-03	15:55:00	obsr3700677	S153632996	Traveling	P22	EBIRD	30	2.494		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1586332578	2023-03-25 10:35:45.702968	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				20					India	IN	Chhattisgarh	IN-CT	Mungeli	IN-CT-MU	BIRDLIFE_46882				Achanakmar Tiger Reserve	L11753918	H	22.5047322	81.7826666	2022-12-20		obsr955824	S124355828	Historical	P62	EBIRD					1		1	1	1			I am very happy that the flight of endangered Indian vultures is made in Aurapani, the buffer area of Achanakmar Tiger Reserve. Today Indian vultures can be seen in good numbers in Aurapani with family, I felt this pleasant experience for hours yesterday (20 December 2022). I saw more than 20 vultures flying together in the sky, some vultures were sitting on their habitat. According to an estimate, at present their number may be around 40 which is a good figure. The number of Indian vultures has increased in the last few years. Achanakmar Tiger Reserve Management is not only serious about the conservation of these vultures but is also attentive to their habitat and safety. The department has also prepared an action plan regarding vulture conservation, on which work is going on. The increase in the number of Indian vultures year after year in Arapani is proof that they are increasing their progeny by getting favorable environment and safe habitat. I spent more than three hours near the Indian vulture habitat in Aurapani.	
URN:CornellLabOfOrnithology:EBIRD:OBS1659769792	2024-04-28 08:00:51.728354	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Chhattisgarh	IN-CT	Mungeli	IN-CT-MU	BIRDLIFE_46882				Mungeli, Chhattisgarh, IN (22.379, 81.899)	L22959157	P	22.3789530	81.8985201	2023-03-19	15:30:00	obsr1706529	S131294281	Stationary	P21	EBIRD	333			1	1		1	1	1			Observed 6 birds	
URN:CornellLabOfOrnithology:EBIRD:OBS1578462681	2022-12-29 14:27:32.389076	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				X					India	IN	Gujarat	IN-GJ	Ahmedabad	IN-GJ-AH					Gujarat State Highway 7, Ahmedabad, Gujarat, IN (23.094, 72.037)	L21755422	P	23.0935158	72.0374483	2022-12-10	13:57:00	obsr729157	S123717214	Traveling	P22	EBIRD	30	1.350		3	1		0	1	1		Vultures observed on a cattle road kill. All photographed	Photographed	
URN:CornellLabOfOrnithology:EBIRD:OBS1604338996	2024-04-28 06:37:38.990653	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Gujarat	IN-GJ	Ahmedabad	IN-GJ-AH					Moti Kumad, Viramgam	L10911897	H	23.1410000	72.1090000	2022-12-31	07:57:00	obsr1522701	S125975042	Traveling	P22	EBIRD	95	1.399		3	1	G9458957	0	1	1			Photographed	
URN:CornellLabOfOrnithology:EBIRD:OBS1601423385	2024-04-28 06:37:19.971708	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Gujarat	IN-GJ	Ahmedabad	IN-GJ-AH					Moti Kumad, Viramgam	L10911897	H	23.1410000	72.1090000	2022-12-31	07:57:00	obsr543478	S125711897	Traveling	P22	EBIRD	95	1.399		3	1	G9458957	0	1	1			Photographed	
URN:CornellLabOfOrnithology:EBIRD:OBS1615920994	2024-04-28 06:48:21.192259	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Gujarat	IN-GJ	Ahmedabad	IN-GJ-AH					Moti Kumad, Viramgam	L10911897	H	23.1410000	72.1090000	2022-12-31	07:57:00	obsr661967	S126994520	Traveling	P22	EBIRD	95	1.399		3	1	G9458957	0	1	1			Photographed	
