GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1265530380	2024-07-10 02:17:17.170679	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				2					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA	BIRDLIFE_18062				勒门巴民族乡, 山南市 CN-西藏自治区 (27.7107,91.7285)	L16742924	P	27.7106530	91.7284570	2021-10-19	08:29:00	obsr656044	S96724947	Traveling	P22	EBIRD	500	15.000		5	1		0	1	0			Seen well	
URN:CornellLabOfOrnithology:EBIRD:OBS1272499279	2024-07-10 02:17:15.52199	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				2					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					Tawang, Arunachal Pradesh, India	L14645033	P	27.6034514	91.8661582	2021-11-07	10:13:00	obsr1226125	S97234322	Traveling	P22	EBIRD	313	32.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1278197761	2024-07-10 02:17:17.302617	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					(27.554, 91.985)	L16904668	P	27.5543753	91.9849955	2021-11-16	05:54:00	obsr1226125	S97653148	Traveling	P22	EBIRD	582	49.610		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276835805	2024-07-10 02:17:15.705954	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					Tawang, Arunachal Pradesh, India	L14645033	P	27.6034514	91.8661582	2021-11-14	07:08:00	obsr1226125	S97555954	Traveling	P22	EBIRD	6	43.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1403186227	2024-07-10 02:17:17.944808	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.52958, 92.06136	L18621742	P	27.5295760	92.0613640	2022-04-22	08:22:00	obsr493998	S107971396	Traveling	P22	EBIRD	100	2.651		6	1	G8218409	0	1	0		Tawang birds		
URN:CornellLabOfOrnithology:EBIRD:OBS1399654845	2024-07-10 02:17:17.91514	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.52958, 92.06136	L18621742	P	27.5295760	92.0613640	2022-04-22	08:22:00	obsr188371	S107671146	Traveling	P22	EBIRD	100	2.651		6	1	G8218409	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1561010048	2023-06-17 03:17:45.944898	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					Tawang--Ptso Lake Road	L6072480	H	27.6226628	91.8618661	2022-04-27	05:11:00	obsr2292537	S108176072	Traveling	P22	EBIRD	147	17.020		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1422492374	2024-07-10 02:17:17.961948	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.52958, 92.06136	L18621742	P	27.5295760	92.0613640	2022-04-22	08:22:00	obsr438066	S109572765	Traveling	P22	EBIRD	100	2.651		6	1	G8218409	0	1	0		Tawang birds		
URN:CornellLabOfOrnithology:EBIRD:OBS1996090233	2024-07-10 02:17:26.817297	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					Tawang--Ptso Lake Road	L6072480	H	27.6226628	91.8618661	2022-05-30	06:00:00	obsr1092888	S165849434	Traveling	P22	EBIRD	180	6.000		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1633842493	2024-07-10 02:17:19.187248	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				2					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					Kitpi Circle, Tawang IN-AR 27.60240, 91.86201	L22646970	P	27.6023980	91.8620100	2023-02-18	06:10:00	obsr1226125	S128638972	Traveling	P22	EBIRD	313	26.176		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1661562368	2024-07-10 02:17:19.345077	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.55433, 92.00926	L22860816	P	27.5543300	92.0092570	2023-03-01	06:54:00	obsr1327996	S131462838	Traveling	P22	EBIRD	232	32.588		7	1	G9751162	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1644844526	2023-03-01 01:09:43.08013	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.53707, 92.05081	L22860990	P	27.5370680	92.0508150	2023-03-01	11:14:00	obsr1226125	S129896893	Traveling	P22	EBIRD	25	4.266		7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1862711339	2024-07-10 02:17:19.37326	7668	species	avibase-81DB7410	Bearded Vulture	Gypaetus barbatus				1					India	IN	Arunachal Pradesh	IN-AR	Tawang	IN-AR-TA					NH 13, Tawang IN-AR 27.55433, 92.00926	L22860816	P	27.5543300	92.0092570	2023-03-01	06:54:00	obsr3670926	S153341735	Traveling	P22	EBIRD	232	32.588		7	1	G9751162	1	1	0				
