GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1061467754	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2021-01-29	07:32:00	obsr603759	S80053314	Traveling	P22	EBIRD	283	29.000		4	1	G7979929	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1086398302	2023-12-01 21:14:48.398851	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				X					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--General Area	L976256	H	26.6437764	93.3982086	2021-03-03	07:44:00	obsr2123015	S82665853	Traveling	P22	EBIRD	60	33.110		1	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS1358886525	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-02-20	13:48:00	obsr1146374	S104266453	Traveling	P22	EBIRD	173	5.080		3	1	G7923313	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1396913432	2024-05-10 05:07:01.960516	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2022-02-25	08:45:00	obsr1210059	S103670754	Traveling	P22	EBIRD	180	30.000		3	1	G10869398	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1346880136	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-02-20	13:48:00	obsr646576	S103149593	Traveling	P22	EBIRD	173	5.080		3	1	G7923313	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1350338546	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-02-20	13:48:00	obsr1064060	S103549949	Traveling	P22	EBIRD	173	5.080		3	1	G7923313	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1831743171	2024-05-10 05:07:01.960516	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2022-02-25	08:45:00	obsr1636413	S150367992	Traveling	P22	EBIRD	180	30.000		3	1	G10869398	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1368559259	2023-10-20 14:20:45.375871	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga National Park, Golaghat IN-AS 26.66427, 93.56338	L18156443	P	26.6642740	93.5633760	2022-03-18	14:47:00	obsr1102491	S105053595	Traveling	P22	EBIRD	153	11.335		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1366116517	2024-05-07 09:42:09.354338	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Agoratoli Range, Kaziranga Tiger Reserve	L9626912	P	26.6824872	93.5460689	2022-03-05	07:00:00	obsr1399428	S104856393	Traveling	P22	EBIRD	660	28.000		1	1		0	1	0		The  complete list of bird species observed while on Safari at Kaziranga National Park and Tiger Reserve is being mentioned in the checklist.		
URN:CornellLabOfOrnithology:EBIRD:OBS1359150735	2024-05-07 07:00:46.439069	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-03-06	15:07:00	obsr543138	S104288302	Traveling	P22	EBIRD	174	19.482		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1400677112	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1	F 	C1	F 		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-04-22	13:36:00	obsr773277	S107756863	Traveling	P22	EBIRD	158	15.240		3	1	G8298058	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1433157083	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1	F 	C1	F 		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-04-22	13:36:00	obsr3152823	S110460811	Traveling	P22	EBIRD	158	15.240		3	1	G8298058	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1414547403	2024-01-23 16:56:43.936823	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1	F 	C1	F 		India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2022-04-22	13:36:00	obsr2948028	S108915120	Traveling	P22	EBIRD	158	15.240		3	1	G8298058	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1847372985	2023-10-10 22:03:55.022728	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				6					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG					Assam Trunk Road, Hatikhuli T.E., Assam, IN (26.587, 93.38)	L27468307	P	26.5874065	93.3803347	2023-10-11	05:41:00	obsr2787287	S151922852	Traveling	P22	EBIRD	112	3.030		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1898177197	2024-04-28 10:57:03.212241	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2023-12-15	08:01:00	obsr1898859	S156428898	Traveling	P22	EBIRD	185	12.910		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1962582071	2024-02-25 00:33:10.981101	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				9					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Eastern Range (Agaratoli)	L1131599	H	26.6940913	93.5128441	2024-01-10	11:19:00	obsr1196810	S162826654	Traveling	P22	EBIRD	92	6.500		1	1	G11790356	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1932626862	2024-01-24 11:54:39.975206	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-01-23	13:45:00	obsr773277	S159600030	Traveling	P22	EBIRD	174	17.470		4	1	G11577975	0	1	0				
