GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1585414906	2024-01-12 02:35:45.408039	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				4					India	IN	Arunachal Pradesh	IN-AR	Changlang	IN-AR-CH	BIRDLIFE_46970				Namdapha NP & Surroundings--General Area	L3053752	H	27.5387400	96.4416460	2022-12-08	14:20:00	obsr977888	S124286216	Incidental	P20	EBIRD				1	0		0	1	1			Soaring over the hornbill camp. Pale underparts, black wing tips and tail tips. Large squarish wings. Have photos, will upload later.	
URN:CornellLabOfOrnithology:EBIRD:OBS1130173029	2024-07-10 02:07:16.785908	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr391349	S86216881	Historical	P62	EBIRD				3	1	G6596476	0	1	0			One seen and photographed. Known from this sanctuary.	
URN:CornellLabOfOrnithology:EBIRD:OBS1130257685	2024-07-10 02:07:16.745912	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr553917	S86223361	Traveling	P22	EBIRD	720	6.437		3	1	G6596476	0	1	0			One seen and photographed. Known from this sanctuary.	
URN:CornellLabOfOrnithology:EBIRD:OBS1136614497	2024-07-10 02:07:16.693224	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES	BIRDLIFE_18037				Daying Ering Wildlife Sanctuary	L8890706	P	27.9961540	95.4405713	2021-04-15	04:30:00	obsr1021807	S86705123	Traveling	P22	EBIRD	720	6.437		3	1	G6596476	0	1	0			One seen and photographed. Known from this sanctuary.	
URN:CornellLabOfOrnithology:EBIRD:OBS1972790746	2024-03-07 01:48:22.621001	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				4					India	IN	Arunachal Pradesh	IN-AR	East Siang	IN-AR-ES					ATREE Siang Field Station	L29198851	H	28.0539690	95.3118550	2024-03-07	12:16:00	obsr4748030	S163944741	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1107904542	2024-04-29 05:31:01.756065	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18048				NH 313, Lower Dibang Valley IN-AR 28.22297, 95.80685	L14226359	P	28.2229740	95.8068540	2021-03-28	15:55:00	obsr814043	S84453661	Traveling	P22	EBIRD	63	3.430		1	1		0	1	0			Flying before roing	
URN:CornellLabOfOrnithology:EBIRD:OBS1288327753	2024-04-29 05:41:06.20152	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18038				Jia Grassland	L18909035	H	28.0662893	95.7128883	2021-04-16	04:42:00	obsr435643	S85630283	Traveling	P22	EBIRD	229	52.618		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1289757090	2023-10-24 13:22:14.766679	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				6					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18048				Mishmi Hills--Tiwari Gaon (28 km)	L13758735	H	28.2228171	95.8348869	2021-11-28	05:00:00	obsr809788	S98495709	Traveling	P22	EBIRD	300	20.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1794200983	2023-07-31 06:43:19.52649	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Open Fields--Jia Grassland Road	L23009896	H	28.0605080	95.7430680	2022-11-20	13:30:00	obsr1432365	S146076497	Stationary	P21	EBIRD	60			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1597022591	2024-07-10 02:12:56.002431	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				3					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Elopa-Etugu CCA Grassland	L22023193	P	28.2727446	95.7194992	2022-12-29		obsr1339938	S125320966	Historical	P62	EBIRD				1	1		0	1	0				
