GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1115323811	2023-03-11 23:47:08.140113	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				7					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18038				Jia Grassland	L18909035	H	28.0662893	95.7128883	2021-04-04	09:19:00	obsr980050	S85080111	Traveling	P22	EBIRD	83	1.143		2	1	G6527614	0	1	0			Roing grassland	
URN:CornellLabOfOrnithology:EBIRD:OBS1116915947	2023-03-11 23:47:08.140113	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				7					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18038				Jia Grassland	L18909035	H	28.0662893	95.7128883	2021-04-04	09:19:00	obsr981825	S85203503	Traveling	P22	EBIRD	83	1.143		2	1	G6527614	0	1	0			Roing grassland	
URN:CornellLabOfOrnithology:EBIRD:OBS1282999826	2023-03-11 23:47:08.140113	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				4					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD	BIRDLIFE_18038				Jia Grassland	L18909035	H	28.0662893	95.7128883	2021-11-24	13:03:00	obsr1226125	S97998970	Traveling	P22	EBIRD	314	47.220		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1362769622	2024-04-28 03:51:43.986427	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Upwards Ali Ledo Towards 12 Mile Point, National Highway 313, Arunachal Pradesh, IN (28.213, 95.802)	L18075879	P	28.2129358	95.8023659	2022-03-07	15:05:00	obsr834082	S104589167	Traveling	P22	EBIRD	21	1.010		3	1	G8001252	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1366177498	2024-04-28 03:52:47.871236	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Upwards Ali Ledo Towards 12 Mile Point, National Highway 313, Arunachal Pradesh, IN (28.213, 95.802)	L18075879	P	28.2129358	95.8023659	2022-03-07	15:05:00	obsr1226125	S104859584	Traveling	P22	EBIRD	21	1.010		3	1	G8001252	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1362769630	2024-04-28 03:51:43.986427	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Upwards Ali Ledo Towards 12 Mile Point, National Highway 313, Arunachal Pradesh, IN (28.213, 95.802)	L18075879	P	28.2129358	95.8023659	2022-03-07	15:05:00	obsr1497056	S104589168	Traveling	P22	EBIRD	21	1.010		3	1	G8001252	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1395931150	2023-10-23 10:32:47.917541	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Roing, Arunachal Pradesh, IN (28.137, 95.843)	L18474904	P	28.1369267	95.8429975	2022-04-12	17:15:00	obsr2315571	S107362282	Stationary	P21	EBIRD	15			9	1	G8197419	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1445799352	2023-10-23 10:43:33.099562	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Roing, Arunachal Pradesh, IN (28.137, 95.843)	L18474904	P	28.1369267	95.8429975	2022-04-12	17:15:00	obsr2883240	S111594362	Stationary	P21	EBIRD	15			9	1	G8197419	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1395931166	2023-10-23 10:32:48.02081	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Roing, Arunachal Pradesh, IN (28.137, 95.843)	L18474904	P	28.1369267	95.8429975	2022-04-12	17:15:00	obsr485649	S107362283	Stationary	P21	EBIRD	15			9	1	G8197419	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1389973911	2023-10-23 10:31:38.578665	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Arunachal Pradesh	IN-AR	Lower Dibang Valley	IN-AR-LD					Roing, Arunachal Pradesh, IN (28.137, 95.843)	L18474904	P	28.1369267	95.8429975	2022-04-12	17:15:00	obsr368303	S106860137	Stationary	P21	EBIRD	15			9	1	G8197419	0	1	0				
