GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1821477299	2023-09-08 02:31:37.02188	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Chhattisgarh	IN-CT	Bijapur	IN-CT-BJ					Mancherial-Chennor-Jagdalpur Road, Bijapur, Chhattisgarh, IN (18.836, 80.42)	L26380209	P	18.8358500	80.4201333	2023-09-08	11:31:00	obsr3700677	S149236526	Traveling	P22	EBIRD	26	2.446		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1836057595	2023-10-19 18:30:54.364518	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				2					India	IN	Gujarat	IN-GJ	Gir Somnath	IN-GJ-GS					Gir Gadhada Rd	L27260592	H	20.9464933	70.9105187	2023-09-25	09:30:00	obsr1300095	S150802777	Traveling	P22	EBIRD	20	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833872433	2023-10-19 13:13:30.969209	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				2					India	IN	Gujarat	IN-GJ	Gir Somnath	IN-GJ-GS	BIRDLIFE_18133				Gir Wildlife Sanctuary--Jamvala outskirts	L4869576	H	21.0138482	70.7906550	2023-09-23	14:00:00	obsr1300095	S150582877	Traveling	P22	EBIRD	65	6.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1838589453	2024-03-07 12:49:05.564763	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				5					India	IN	Maharashtra	IN-MH	Gadchiroli	IN-MH-GA					Unnamed Road, Peta S, Maharashtra, IN (19.022, 80.266)	L27306024	P	19.0216600	80.2656500	2023-09-02	07:45:00	obsr4370875	S151048714	Traveling	P22	EBIRD	57	1.340		1	1		0	1	1			Sitting on the tree	
URN:CornellLabOfOrnithology:EBIRD:OBS1837898959	2023-09-29 04:08:26.933253	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Maharashtra	IN-MH	Nashik	IN-MH-NS					Harihar fort	L6020221	H	19.9060550	73.4723000	2023-09-29	13:37:00	obsr672878	S150978629	Stationary	P21	EBIRD	2			4	1		0	1	0			Common	
URN:CornellLabOfOrnithology:EBIRD:OBS1838628679	2023-09-30 04:09:17.971031	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				2					India	IN	Maharashtra	IN-MH	Nashik	IN-MH-NS					Anjaneri Hill	L5424184	H	19.9392225	73.5926485	2023-09-30	11:45:00	obsr672878	S151051529	Traveling	P22	EBIRD	112	2.280		4	1		0	1	0			Common	
URN:CornellLabOfOrnithology:EBIRD:OBS1841472627	2023-10-04 01:20:39.329773	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Maharashtra	IN-MH	Pune	IN-MH-PU					Plus Valley, Tamhini Ghat	L27358021	P	18.4750802	73.4092734	2023-09-29	16:15:00	obsr1479316	S151339449	Traveling	P22	EBIRD	30	0.300		3	1	G10930230	0	1	1			In flight, soaring in the valley. Probably a juvenile.	
URN:CornellLabOfOrnithology:EBIRD:OBS1838694512	2023-09-30 12:16:12.423377	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Maharashtra	IN-MH	Pune	IN-MH-PU					Madhe Ghat	L24635180	H	18.1988958	73.5732956	2023-09-29	10:14:00	obsr4372506	S151057999	Traveling	P22	EBIRD	173	21.320		2	1		0	1	1			Flying high in Madheghat region of Maharashtra this is an approximate identification.	
URN:CornellLabOfOrnithology:EBIRD:OBS1841934188	2023-10-04 01:20:39.329773	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Maharashtra	IN-MH	Pune	IN-MH-PU					Plus Valley, Tamhini Ghat	L27358021	P	18.4750802	73.4092734	2023-09-29	16:15:00	obsr2715313	S151382324	Traveling	P22	EBIRD	30	0.300		3	1	G10930230	0	1	1			In flight, soaring in the valley. Probably a juvenile.	
URN:CornellLabOfOrnithology:EBIRD:OBS1837317429	2023-10-20 12:14:25.466044	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				13					India	IN	Maharashtra	IN-MH	Raigad	IN-MH-RG					Chandore Forest	L25158951	H	18.1640459	73.1782573	2023-09-28	13:42:00	obsr4372642	S150922197	Traveling	P22	EBIRD	35	2.199		2	1	G10911017	1	1	1			Vultures observed on supplementary feeding ground feeding on carcass	
